iter	Passed	Remaining
0	20	20677
1	41	20666
2	61	20544
3	82	20449
4	102	20386
5	124	20702
6	147	20927
7	173	21542
8	194	21452
9	214	21262
10	235	21159
11	257	21182
12	278	21137
13	303	21356
14	326	21423
15	347	21358
16	368	21320
17	389	21239
18	408	21111
19	430	21094
20	458	21362
21	479	21306
22	500	21239
23	521	21192
24	542	21154
25	563	21098
26	585	21084
27	607	21092
28	629	21066
29	647	20924
30	668	20892
31	681	20619
32	701	20562
33	722	20531
34	746	20579
35	767	20559
36	787	20504
37	808	20462
38	826	20374
39	848	20373
40	874	20453
41	898	20502
42	919	20473
43	941	20445
44	961	20412
45	982	20374
46	1003	20340
47	1024	20317
48	1053	20447
49	1075	20432
50	1097	20424
51	1125	20511
52	1151	20580
53	1172	20540
54	1196	20559
55	1218	20533
56	1238	20497
57	1259	20457
58	1281	20434
59	1301	20388
60	1322	20361
61	1348	20406
62	1369	20368
63	1391	20349
64	1411	20303
65	1432	20265
66	1452	20227
67	1473	20195
68	1499	20237
69	1520	20195
70	1541	20168
71	1563	20148
72	1583	20108
73	1603	20059
74	1625	20048
75	1648	20047
76	1669	20017
77	1691	19992
78	1711	19954
79	1732	19918
80	1752	19884
81	1773	19858
82	1797	19862
83	1819	19836
84	1840	19815
85	1862	19797
86	1883	19764
87	1903	19727
88	1926	19715
89	1947	19694
90	1967	19656
91	1988	19626
92	2008	19591
93	2029	19561
94	2050	19534
95	2072	19519
96	2095	19507
97	2117	19491
98	2139	19468
99	2162	19460
100	2185	19450
101	2206	19425
102	2230	19425
103	2251	19398
104	2273	19382
105	2349	19812
106	2398	20020
107	2432	20090
108	2454	20060
109	2478	20051
110	2498	20007
111	2519	19976
112	2535	19901
113	2553	19841
114	2572	19798
115	2593	19762
116	2613	19726
117	2634	19691
118	2655	19660
119	2683	19677
120	2704	19645
121	2724	19609
122	2745	19575
123	2768	19557
124	2789	19523
125	2809	19489
126	2833	19480
127	2861	19492
128	2889	19512
129	2911	19482
130	2932	19453
131	2953	19424
132	2970	19361
133	2989	19321
134	3010	19288
135	3033	19274
136	3054	19241
137	3075	19210
138	3097	19185
139	3118	19155
140	3138	19118
141	3157	19080
142	3182	19073
143	3202	19037
144	3224	19011
145	3244	18980
146	3265	18947
147	3286	18917
148	3307	18888
149	3332	18884
150	3354	18860
151	3375	18832
152	3395	18798
153	3416	18767
154	3436	18736
155	3456	18701
156	3478	18678
157	3497	18640
158	3523	18634
159	3545	18611
160	3567	18590
161	3588	18560
